en,ku,pos,description,stars
aa,اا,,,
aah,ااه,,,
aal,اال,,,
aalii,االیی,,,
aardvark,بەرازی زەوی,,,
aardvarks,بەرازەکانی زەوی,,,
aardwolf,گورگی زەوی,,,
aardwolves,گورگەکانی زەوی,,,
abaca,ئەباجا,,,
aback,بۆ پشتەوە,,,
abalone,گوێچکەماسی,,,
abalones,گوێچکەماسییەکان,,,
abandon,پشتگوێ خستن,,,
abandoned,پشتگوێ خرا,,,
abandonee,پشتگوێ خراو,,,
abandoning,پشتگوێ خستن,,,
abandons,پشتگوێی ئەخا,,,
abase,ڕق,,,
abased,ڕق لێکراو,,,
abasement,ڕق لێکراو,,,
abash,شەرمەزاری,,,
abashed,شەرمەزار بوو,,,
abashes,شەرمەزاری ئەکات,,,
abashing,شەرمەزار کردن,,,
abashment,شەرمەزار کراو,,,
abashments,شەرمەزار کراوەکان,,,
abatable,بچوککراوە,,,
abate,بچوکی بکەرەوە,,,
abated,بچوککرایەوە,,,
abatement,بچوککراوە,,,
abatements,بچوککراوەکان,,,
abates,بچوکی دەکاتەوە,,,
abating,بچوککردنەوە,,,
abatis,پەرژین,,,
abator,قەساب,,,
abators,قەسابەکان,,,
abattis,پەرژین,,,
abattises,پەرژینی دەکات,,,
abilities,تواناکان,,,
ability,توانا,,,
able,توانا,,,
abnormal,نائاسایی,,,5
abnormally,بە نائاسایی,,,
abnormity,شاز,,,
aboard,لە سەر کەشتی,,,
abord,یەکەم,,,
abort,لەباربردن,,,
aborted,لەباری برد,,,
aborting,لەباربردن,,,
abortion,لەباربردن,,,
aborts,لەباری ئەبا,,,
about,دەربارە,,,
abouts,دەربارەکان,,,
above,سەرەوە,,,
abridge,کورت,,,
abridged,کورتکرایەو,,,
abridger,کورتکەرەوە,,,
abridgers,کورتکەرەوەکان,,,
abridges,کورتەکان,,,
abridging,کورتکردن,,,
abridgment,کورتکردن,,,
absolute,تەواو,,,
absolutely,تەواوی,,,
absolution,تەواو,,,
absolve,لێخۆشبون,,,
absolved,لێیخۆشبون,,,
absolves,لێیخۆشەبێت,,,
absolving,لێخۆشبون,,,
abstract,پوختە,,,
abstracted,پوختەکرا,,,
abstractly,پوختەکراوی,,,
abstractor,پوختەکار,,,
abstracts,پوختەی ئەکات,,,
academe,ئەکادیمی,,,
academes,ئەکادیمییەکان,,,
academia,ئەکادیمیا,,,
academic,ئەکادیمی,,,
academies,ئەکادیمیاکان,,,
academism,ئەکادیمکار,,,
academists,ئەکادیمکارەکان,,,
academy,ئەکادیمی,,,
accedence,ڕوداو,,,
accedences,ڕوداوەکان,,,
accent,زاراوە,,,
accept,پەسەند,,,
acceptable,پەسەندکراو,,,
acceptably,بە پەسەندکراوی,,,
acceptance,پەسەندکردن,,,
accepted,پەسەند کرا,,,
accepter,پەسەندکار,,,
accepters,پەسەندکارەکان,,,
accepting,پەسەندکردن,,,
accepts,پەسەندی دەکات,,,
access,چونەناو,,,
accessed,چونە ناوەوە,,,
accesses,ئەچێتە ناوەوە,,,
accessible,کراوەیە بۆ چونە ناو,,,
accessibly,بە کراوەیی,,,
accessing,چونە ناوەوە,,,
accidence,ڕواداو,,,
accident,ڕوداو,,,
accidental,ڕوداو,,,
accidented,ڕوداو بو,,,
accidents,ڕوداوەکان,,,
according,بە پێی,,,
account,هەژمار,,,
accounted,هەژمار کرا,,,
accounting,هەژمار کردن,,,
accounts,هەژمارەکان,,,
achieve,گەیشتن,,,
achieved,گەیشت,,,
achiever,پێگەیشتو,,,
achievers,پێگەیشتووەکان,,,
achieves,ئەگات,,,
achieving,پێگەیشتن,,,
acquire,بەدەست هێنان,,,
acquired,بەدەستی هێنا,,,
acquires,بەدەستی ئەهێنێ,,,
acquiring,بەدەست هێنان,,,
acrobat,تەنافبازی,,,
acrobatism,تەنافبازی,,,
acrobats,تەنافبازەکان,,,
across,بەدرێژایی,,,
act,نواندن,,,
acted,نوێنرا,,,
acting,نواندن,,,
actings,نواندنەکان,,,
action,کار,,,
actions,کارەکان,,,
activate,چالاک کردن,,,
activated,چالاک کرا,,,
activates,چالاکی دەکات,,,
activating,چالاک کردن,,,
activation,چالاککردن,,,
activator,چالاککەر,,,
activators,چالاککەرەکان,,,
active,چالاک,,,
actively,بە چالاکی,,,
activities,چالاکی,,,
activity,چالاکی,,,
actor,ئەکتەر,,,
actors,ئەکتەرەکان,,,
acts,نواندن دەکات,,,
actual,ڕاستی,,,
add,سەرخستن,,,
added,سەرخرا,,,
addict,هۆگر,,,
addicted,هۆگربوو,,,
addicting,هۆگربوون,,,
addiction,هۆگری,,,
addictions,هۆگرییەکان,,,
addicts,هۆگری ئەبێت,,,
adding,سەرخستن,,,
addition,کۆکردنەوە,,,
additional,جیاکردنەوە,,,
additions,جیای ئەکاتەوە,,,
address,ناونیشان,,,
addressed,ناونیشانکرد,,,
addresser,ناونیشانکار,,,
addressers,ناونیشانکارەکان,,,
addresses,ناونیشانەکان,,,
addressing,ناونیشان کردن,,,
adds,سەری ئەخات,,,
adjective,هاوەڵناو,,,
adjectives,هاوەڵناوەکان,,,
adjust,ڕێکخستن,,,
adjustable,ئامادەیە بۆ ڕێکخستن,,,
adjustably,بە ڕێکخراوی,,,
adjusted,ڕێکخرا,,,
adjuster,ڕێکخەر,,,
adjusters,ڕێکخەرەکان,,,
adjusting,ڕێکخستن,,,
adjustment,ڕێکخستن,,,
adjusts,ڕێکی ئەخات,,,
admin,بەڕێوەبەر,,,
administer,بەڕێوەبەر,,,
admins,بەڕێوەبەرەکان,,,
admire,سەرسام,,,
admired,سەرسام بوو,,,
admirer,سەرسامکەر,,,
admirers,سەرسامکەرەکان,,,
admires,سەرسامی ئەکات,,,
admiring,سەرسام کردن,,,
admits,دانپیانان,,,
adult,پێگەیشتو,,,
adults,پێگەیشتووەکان,,,
advance,پێسکەوتوو,,,
advanced,پێشکەوتووە,,,
advances,پێشکەوتووەکان,,,
advancing,پێشکەوتن,,,
advantage,سوود,,,
advantaged,سوودی وەرگرت,,,
advantages,سوودەکان,,,
adventure,سەرکەشی,,,
adventured,سەرکەشی کرد,,,
adventurer,سەرکەشیکار,,,
adventures,سەرکەشی دەکات,,,
advice,ئامۆژگاری,,,
advised,ئامۆژگاری کرا,,,
adviser,ئامۆژگاری کار,,,
advisers,ئامۆژگاری کارەکان,,,
advises,ئامۆژگارییەکان,,,
advising,ئامۆژگاری کردن,,,
advisor,ئامۆژگاری کار,,,
advisors,ئامۆژگاری کارەکان,,,
affected,بەرکەوتوو,,,
affection,بەرکەوتن,,,
afghani,ئەفغانی,,,
afghanis,ئەفغانی,,,
afghans,ئەفغانییەکان,,,
after,پاش,,,
afterbirth,پآش لە دایکبوون,,,
aftergame,پاش یاری,,,
aftergames,پاش یارییەکان,,,
afternoon,ئێوارە,,,
afternoons,ئێوارەکان,,,
aftershave,پاشتراش,,,
aftertime,داهاتوو,,,
aftertimes,داهاتووەاکان,,,
afterward,پاشتر,,,
afterword,بەکورتی,,,
afterwords,بەکورتییەکان,,,
afterworld,پاش ژیان,,,
again,دووبارە,,,
against,دژ,,,
age,تەمەن,,,
aged,بەتەمەن,,,
agenda,ئەجێندا,,,
agendas,ئەجێنداکان,,,
agent,وەکیل,,,
ages,تەمەنەکان,,,
agha,ئاغا,,,
aghas,ئاغاکان,,,
ago,لەوەوپێش,,,
agree,ڕازیبوون,,,
agreeable,ئامادیە بۆ ڕازی بوون,,,
agreed,ڕازیبوو,,,
agreeing,ڕازیبوون,,,
agreement,ڕێکەوتن,,,
agreements,ڕێکەوتنەکان,,,
agrees,ڕازیئەبێت,,,
ah,ئاه,,,
aha,ئاها,,,
ahead,سەرۆک,,,
aid,یارمەتی,,,
aide,یارمەتی,,,
aided,یارمەتی,,,
aider,یارمەتیدا,,,
ail,سیر,,,
aim,مەبەست,,,
aimless,بێ مەبەست,,,
aimlessly,بێ مەبەستانە,,,
aims,مەبەستەکان,,,
air,هەوا,,,
airbrush,فڵجەی هەوایی,,,
airbrushes,فڵچە هەواییەکان,,,
airburst,تەقینەوەی هەوایی,,,
airbursts,تەقینەوە هەواییەکان,,,
aircraft,کەشتی ئاسمانی,,,
aircrew,گروپی کەشتی ئاسمانی,,,
aircrews,گروپەکانی کەشتی ئاسمانی,,,
aired,پەخشکرا,,,
airfield,فڕۆکەخانە,,,
airfields,فڕۆکەخانەکان,,,
airing,پەخشکردن,,,
airings,پەخشکردنەکان,,,
airless,بێ هەوا,,,
airline,کۆمپانیای هێڵی ئاسمانی,,,
airlines,کۆمپانیاکانی هێڵی ئاسمانی,,,
airman,فڕۆکەوان,,,
airmen,دوو فڕۆکەوان,,,
airplane,فڕۆکە,,,
airplanes,فڕۆکەکان,,,
airplay,پەخش,,,
airport,فڕۆکەخانە,,,
airports,فڕۆکەخانەکان,,,
airs,پەخشی دەکات,,,
airside,بەرزی,,,
airspace,کەش,,,
airspaces,کەشەکان,,,
airspeed,خێرایی,,,
airstream,ڕووی هەوا,,,
airtime,کاتی پەخشکردن,,,
airtimes,کاتەکانی پەخشکردن,,,
airwave,شەپۆلی هەوا,,,
airwaves,شەپۆلەکانی هەوا,,,
airway,هەوایی,,,
airways,هەواییەکان,,,
airwoman,ژنە کەشتییەوانی هەوایی,,,
airwomen,ژنەکانی کەشتییەوانی هەوایی,,,
airy,هەوایی,,,
aland,ئەلەند,,,
alarm,ئاگادارکەرەوە,,,
alarmed,ئاگادارکرایەوە,,,
alarming,ئاگادارکردنەوە,,,
alarms,ئاگادارکەرەوەکان,,,
albert,ئالبێرت,,,
album,ئەلبوم,,,
albums,ئەلبومەکان,,,
alchemical,کیمیایی,,,
alchemist,کارکەر لەسەر کیمیا,,,
alchemists,کەسە کیمیاییەکان,,,
alchemy,کیمیا,,,
alcohol,کحوول,,,
alcoholic,کحوولی,,,
alcoholics,کحوولییەکان,,,
alcoholism,هۆگری کحوولی,,,
alcohols,کحوولەکان,,,
aldrin,ئالدرین,,,
ale,بەڵام,,,
alert,ئاگادارکردنەوە,,,
alerted,ئاگادارکرایەوە,,,
alerting,ئاگادارکردنەوە,,,
alerts,ئاگادارکردنەوەکان,,,
alfa,ئەلفا,,,
algebra,زانستی جەبر,,,
algebraic,زانستی جەبری,,,
algebraist,زانای جەبر,,,
algebras,زانستی جەبر,,,
algerine,جەزائیری,,,
algin,جین,,,
alginate,جینات,,,
alginates,جیناتەکان,,,
algologist,شارەزا لە ئازار,,,
algology,زانستی ئازار,,,
algorithm,خواریزمی,,,
algorithms,خواریزمییەکان,,,
algum,هەندێک,,,
algums,هەندێکیان,,,
alias,خوازراو,,,
aliases,خوازراوەکان,,,
alien,غەریب,,,
alienable,غەریبە,,,
aliens,غەریبەکان,,,
align,ڕێکخستن,,,
aligned,ڕێکخرا,,,
aligning,ڕێکخستن,,,
alignment,ڕێکەوتن,,,
alignments,ڕێکەوتنەکان,,,
aligns,ڕێکی دەخا,,,
alive,ئەژی,,,
all,هەموو,,,
allow,ڕێگەپێدان,,,
allowable,ڕێگەپێدراو,,,
allowance,ڕێگەپێدراو,,,
allowances,ڕێگەپێدراوەکان,,,
allowed,ڕێگەپێدراوەکان,,,
allowedly,ڕێگەپێدراوی,,,
allowing,ڕێگەپێدان,,,
allows,ڕێگەی پێدەدات,,,
ally,هاوپەیمان,,,
allying,هاوپەیمانی,,,
alma,ڕٶح,,,
almond,بادەم,,,
almonds,بادەمەکان,,,
almost,بە نزیکەیی,,,
alms,چاکە,,,
aloe,سەبر,,,
aloed,سەبری گرت,,,
aloes,سەبرەگرێت,,,
alone,تەنیا,,,
aloneness,تەنیایی,,,
along,بە درێژایی,,,
alongside,بە پەنا یەکەوە,,,
aloofness,ڕێگر,,,
alopecia,قژ هەڵوەرین,,,
aloud,بە دەنگی بەرز,,,
alpha,ئەلفا,,,
alphabet,ئەبجەدی,,,
alphabetic,ئەبجەدی,,,
alphabets,پیتەکانی ئەبجەدی,,,
alphas,تیشکی ئەلفا,,,
alpine,کوێستان,,,
alpines,کوێستانەکان,,,
alpinism,سەرکەوتن بەسەر چیا,,,
alpinist,پیاوی بەفر,,,
alps,چیای ئالپ,,,
already,پێشتر,,,
alright,باشە,,,
also,هەروەها,,,
alt,کۆن,,,
alter,گۆڕین,,,
alterable,ئامادە بۆ گۆڕین,,,
alterant,گۆڕانکار,,,
alterants,گۆڕانکارەکان,,,
alteration,گۆڕانکاری,,,
alterative,گۆڕەر,,,
altered,گۆڕدرا,,,
altering,گۆڕین,,,
alters,ئەیگۆڕێت,,,
although,هەرچەندە,,,
altimeter,پێوەری بەرزی,,,
altimeters,پێوەرەکانی بەرزی,,,
altimetry,پێوەرەکانی بەرزی,,,
altitude,بەرزی,,,
altitudes,برزییەکان,,,
altogether,بە گشتی,,,
alumina,ئەلۆمینا,,,
aluminate,ئەلۆمینیات,,,
aluminates,ئەلۆمینیاتەکان,,,
aluminium,ئەلەمینیۆم,,,
aluminum,ئەلەمینیۆم,,,
alumna,دەرچوو,,,
alumnae,دەرچووەکان,,,
alumni,دەرچووان,,,
alumnus,ئەلەمینیۆمی,,,
always,بە بەردەوامی,,,
am,بەیانیان,,,
amain,بە هەموو هێزێک,,,
amalgam,بەڵغەم,,,
amalgamate,لکاو,,,
amalgams,بەڵغەمەکان,,,
amateur,بێ توانا,,,
amateurish,بێ توانا,,,
amateurism,بێ توانایی,,,
amateurs,بێ تواناکان,,,
amatory,عاشقی,,,
amaze,سەرسوڕمان,,,
amazed,سەرسوڕمابوو,,,
amazedly,بە سەرسوڕماوی,,,
amazement,سەرسوڕمان,,,
amazes,سەری ئەسوڕمێنێت,,,
amazing,سەرنجڕاکێش,,,
amazingly,بە سەرنجڕاکێسی,,,
amazon,ئەمازۆن,,,
amazonian,ئەمازۆنییەکان,,,
amazons,ئەمازۆن,,,
ambassador,نوێنەر,,,
ambiance,کەش,,,
ambience,کەش,,,
ambient,ناوچە,,,
ambients,ناوچەکان,,,
ambiguity,شاردراوە,,,
ambiguous,شاردراوە,,,
ambisexual,پەیوەست بە دوو ڕەگەزەکە,,,
ambit,سنور,,,
ambition,تەماع,,,
ambitions,تەماعەکان,,,
ambitious,تەماع,,,
ambivalent,دوو ڕوو,,,
ambulance,ئوتومبێلی ئیسعاف,,,
ambulances,ئوتومبێلەکانی ئیسعاف,,,
ambulant,گوێزەرەوە,,,
ambulants,گوێزەرەوەکان,,,
ambulate,بیگوێزەرەوە,,,
ambulated,گواسترایەوە,,,
ambulates,دەیگوێزێتەوە,,,
ambulating,گواستنەوە,,,
ambulation,ڕۆیشتن,,,
ambuscade,کەمین,,,
ambuscaded,کەمینکرا,,,
ambuscades,کەمین ئەکەن,,,
ambush,کەمین,,,
ambushed,کەمینکرا,,,
ambusher,کەمینکار,,,
ambushers,کەمینکارەکان,,,
ambushes,کەمینەکات,,,
ambushing,کەمینکردن,,,
ambushment,کەمینکردن,,,
ameba,کرمی ئەمیبا,,,
amebic,ئەمیبی,,,
amebiform,شێوەی ئەمیبی,,,
ameer,ئەمیر,,,
ameers,ئەمیرەکان,,,
ameliorate,باشترکردن,,,
amen,ئامین,,,
amenable,ئامادەیە,,,
amend,چاککردنەوە,,,
amendable,ئامادەیە بۆ چاککردنەوە,,,
amendatory,چاککاری,,,
amendment,چاکسازی,,,
amendments,چاکسازییەکان,,,
amends,لە بری,,,
amine,ئامین,,,
amines,ئامینەکان,,,
amir,ئەمیر,,,
amirs,ئەمیرەکان,,,
amman,عەممان,,,
ammans,عەممانییەکان,,,
ammo,زەخیرە,,,
among,نێوان,,,
amongst,لە نێوان,,,
amoral,بەدڕەوشتی,,,
amort,لەسەرە مەرگدا,,,
amortize,خەساری بکە,,,
amortized,خەسارکرا,,,
amortizes,خەساریدەکات,,,
amortizing,خەسارکردن,,,
amount,چەندێتی,,,
amounted,گەیشت,,,
amounting,ئەگاتە,,,
amounts,ئەگاتە,,,
amour,پەیوەندی ناشەرعی,,,
amp,ئەمپێر,noun,یەکەی کارەبا,
amperage,ئەمپێری,,,
ampere,ئەمپێر,noun,یەکەی کارەبا,
amperes,ئەمپێر,,,
ampersand,بەزەیی,,,
amphora,گۆزە,,,
amphorae,گۆزەکار,,,
ample,فراوان,,,
ampleness,فراوانبوون,,,
amplified,گەورەکردن,,,
amplifier,گەورەکەر,,,
amplifiers,گەورەکەرەکان,,,
amplifies,گەورەیدەکات,,,
amplify,گەورەیکە,,,
amplifying,گەورەکردن,,,
amplitude,توانا,,,
amplitudes,توانا,,,
amps,ئەمپێر,,,
end,کۆتایی,,,